objectid,filename,title,format,description,creator,date,item_information,subject,location,source,identifier,rights,rightsstatement,type,language
campusecho001,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-1.pdf,Student Exchange Is Key to Understanding,application/pdf,"This article details a student exchange program between NCC students and white students from a Northern University system. This was started to try and help ease race relations, working to integrate these homogenous school cultures.",NCCU The Campus Echo,1968.04.29,single-page; newspaper,Student Exchange; Travel; Integration; Race Relations,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.1.Student_Exchange_Is_Key_To_Understanding ,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho002,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-1.pdf,Student Trip to N.Y. Slated,application/pdf,"The piece basically laid out an upcoming trip to New York. French, German, and Spanish students were going to try different restaurants, view foreign arts, and even get a tour of the United Nations. ",Evelyn L. Willis,1968.04.29,single-page; newspaper,Travel; Language; United Nations; Foreign Cultures; International Relations,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.1.Student_Trip_To_NY_Slated,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho003,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-1.pdf,Tutor Counselors Needed,application/pdf,Describes a summer program that aimed to help underprivileged high school students in the area get ahead academically. The article is calling any interested students to apply to mentor and educate these younger students.,NCCU The Campus Echo,1968.04.29,single-page; newspaper,"Community Service; Work; Advertisement, College Preparation","Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.1.Tutor_Counselors_Needed,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho004,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-1.pdf,Prexy Praises Ex Umbra,application/pdf,"This was an acknowlegment of a favorable review the publication had recieved from then-President, Albert Whiting. The writer describes how this was motivating due to the newspaper receiving lots of backlash in the past.",James Vaughn,1968.04.29,single-page; newspaper,Criticism; Purpose,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.1.Prexy_Praises_Student_Umbra,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho005,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-2.pdf,Alumni Claim India Temporary Home,application/pdf,Tells about a mother-son alumni turned educator duo who spent some time in India. They were stationed in Mysore a city home to several universities. The article shares how the son's job is to help advance the sciences in India through education and gives some background on the culture of the city.  ,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Travel; Foreign Cultures; Science; Alumni; India; International Relations,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.1.Alumni_Claim_India_Temporary_Home,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho006,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-2.pdf,Vietnam Involvement Protested,application/pdf,This was a submission of a letter template students and adults alike were sending out to their Senators protesting the Vietname war. The initial letter was written on a New Jersey campus and sent to representatives with hundreds of signatures. The same letter was spread to schools across the country for people to mail individually to Senators and Representatives to flood their inboxes with the issue.,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Protest; Community; Vietnam War; Politics; Collaboration,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.2.Vietnam_Involvement_Protested,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho007,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-2.pdf,Special Student Travel Offered,application/pdf,An offer was posted for a roundtrip flight to London for $200. They needed 110 people minimun to have the trip and offered 400 spots.,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Travel; Advertisement,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.2.Special_Student_Travel_Offered,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho008,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-3.pdf,Viertel Novel Treats Race,application/pdf,"A book review of white author's tale of a Black man achieving ""success"" in white society. He serves in the military being promoted until he reaches the level of Ambassador. However he grows to resent his position, feeling like he never truly belongs and has been outcasted by the Black people around him due to ""selling out."" ",NCCU The Campus Echo,1968.04.29,single-page; newspaper,Literature; Reviews; Race,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.3.Viertel_Novel_Treats_Race,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho009,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-3.pdf,Faculty Of Speech Viewed,application/pdf,"This was a deep dive on language, with some notes on its formation. The author touches on how humans' ability to form language distinguishes us from other animals, then hones in on a theory that different languages physically occupy different matter in the brain. ",Vergil G. Wright,1968.04.29,single-page; newspaper,Language; Psychology; Theory,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.3.Faculty_Of_Speech_Viewed,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho010,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-3.pdf,Library Recieves Books,application/pdf,Alerted students that the most recent set of World Book Encyclopedias and Atlas had been delivered to the library. This was through a program with the publishers that loaned each addition to universities all over the country.,Alice F. Jones,1968.04.29,single-page; newspaper,Library; Education; Encyclopedia,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.3.Library_Recieves_Books,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho011,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-3.pdf / https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-5.pdf,Professor Saluted,application/pdf,"Shouts out a revered Professor and Author, Russel Lee Adams.",Ronald Robertson,1968.04.29,single-page; newspaper,Professor; Author,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.3.Professor_Saluted,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho012,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,Who Is Bruce,application/pdf,"This piece's narrator provides some background information about ""Bruce,"" also known as Annie B. Lanier, and her unusual personality.",Rosita Bullock,1968.04.29,single-page; newspaper,Coming of Age,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.4.Who_Is_Bruce,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho013,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,Wide Choice Offered Students,application/pdf,A program that enables students to take trips abroad while pursuing their education.,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Traveling;Education,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.4.Wide_Choice_Offered_Students,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho014,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,Junior Diplomatic Posts Open,application/pdf,Employment opportunities for minority groups in the United States,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Jobs,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.4.Junior_Diplomatic_Posts_Open ,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho015,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,Look Homeward Angel Coming ,application/pdf,"Ketti Frings creates play about a seventeen year old boy, Eugene Grant growing into manhood",NCCU The Campus Echo,1968.04.29,single-page; newspaper,Art;Play Writing,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.4.Look_Homeward_Angle_Coming,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho016,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,Cindermen Enjoy Success,application/pdf,"NCCU students on the track team compete in the Philadelphia. the All-Eastern Games, and the Big Seven In­ door Track Meet appear to be on their way to maintaining NCC’s status as a respected and world renowned track power. Lee Cal- hoim and Edwin Roberts, and mile relayers Terrell Amos, Bobby Johnson, Edwin Roberts, and Andrew McCray (known as the Four Horsemen) had great success during this time",Lestee Perry Jr.,1968.04.29,single-page; newspaper,Sports;Track,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.5.Cindermen_Enjoy_Success,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho017,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,Dreaming about your future? then stop!,application/pdf,Interviews on NCC campus for people who are intrested in civilian career with the Army Recreation or Library Program in Europe or the Far East.,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Arts; Social Science; Music ,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.4.Dreaming_About_Your_Future_Them_Stop,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho018,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,A Medical Answer For Muscular Low Back Pain ,application/pdf,Anacin Analgesic Tablets can help relieve severe back pain ,NCCU The Campus Echo,1968.04.29,single-page; newspaper,Medicine,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.4.A_Medical_Answer_For_Muscular_Low_Back_Pain ,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
